# 化学式/元素 自定义词库(由 chemical(7) 微软全拼 v7 转换, 格式: 词	q'y	权重)
# 用法: 打术语全拼出化学式(如 an'gen->NH₄⁺); 打元素符号或拼音出元素名(ac/锕->锕)
V	fan	100
Al₂O₃	fan'tu	100
7s¹	fang	100
Fr	fang	100
钫	fang	100
—Ar	fang'xiang'ji	100
Fe₂(SO₄)₃	fe	100
铁	fe	100
5d¹²7s²	fei	100
Fm	fei	100
镄	fei	100
㎙	fei'mi	100
㍷	fen'mi	100
㍸	fen'mi	100
㍹	fen'mi	100
153	ff	100
F—F	ff	100
镄	fm	100
钫	fr	100
2s²2p⁵	fu	100
F	fu	100
Fl	fu	100
F₂	fu	100
氟	fu	100
CaF₂	fu'hua'gai	100
KF	fu'hua'jia	100
NaF	fu'hua'na	100
HF	fu'hua'qing	100
—F	fu'ji	100
F⁻	fu'li'zi	100
F₂	fu'qi	100
CaF₂	fu'shi	100
㎴	fu'te	100
㎵	fu'te	100
㎶	fu'te	100
㎷	fu'te	100
㎸	fu'te	100
㎹	fu'te	100
4f⁷5d¹6s²	ga	100
Gd	ga	100
钆	ga	100
镓	ga	100
4s²	gai	100
Ca	gai	100
钙	gai	100
Ca²⁺	gai'li'zi	100
NH₂CH₂COOH	gan'an'suan	100
CH₂OHCH₂OH	gan'chun	100
HOCH₂CH₂OH	gan'chun	100
C₃H₈O₃	gan'you	100
Al₂O₃	gang'yu	100
4d²5s²	gao	100
Zr	gao	100
HClO₄	gao'lv'suan	100
ClO₄⁻	gao'lv'suan'gen	100
MnO₄⁻	gao'meng'suan'gen	100
KMnO₄	gao'meng'suan'jia	100
FeO₄²⁻	gao'tie'suan'gen	100
K₂FeO₄	gao'tie'suan'jia	100
NiFeO₄	gao'tie'suan'nie	100
钆	gd	100
3d⁵4s¹	ge	100
4d¹⁰5s²	ge	100
Cd	ge	100
Cn	ge	100
Cr	ge	100
铬	ge	100
锗	ge	100
镉	ge	100
Cr³⁺	ge'li'zi	100
CrO₄²⁻	ge'suan'gen	100
5d¹⁰6s²	gong	100
Hg	gong	100
汞	gong	100
Hg²⁺	gong'li'zi	100
3d⁷4s²	gu	100
Co	gu	100
钴	gu	100
2.99792458×10⁸m/s	guang'su	100
3s²3p²	gui	100
Si	gui	100
硅	gui	100
H₂SiO₃	gui'suan	100
SiO₃²⁻	gui'suan'gen	100
K₂SiO₃	gui'suan'jia	100
Na₂SiO₃	gui'suan'na	100
C₆H₁₂O₆	guo'tang	100
CaO₂	guo'yang'hua'gai	100
K₂O₂	guo'yang'hua'jia	100
Na₂O₂	guo'yang'hua'na	100
H₂O₂	guo'yang'hua'qing	100
氢	h	100
5d²6s²	ha	100
Hf	ha	100
铪	ha	100
1s²	hai	100
He	hai	100
氦	hai	100
Na₂S₂O₃·5H₂O	hai'bo	100
ZnSO₄·7H₂O	hao'fan	100
㎜	hao'mi	100
㎟	hao'mi	100
㎣	hao'mi	100
㏄	hao'sheng	100
366	hbr	100
H—Br	hbr	100
431	hcl	100
H—Cl	hcl	100
氦	he	100
㎐	he'zi	100
㎑	he'zi	100
㎒	he'zi	100
㎓	he'zi	100
㎔	he'zi	100
Hs	hei	100
565	hf	100
H—F	hf	100
铪	hf	100
Hg⁺	hg	100
汞	hg	100
436	hh	100
H—H	hh	100
298	hi	100
H—I	hi	100
钬	ho	100
Pb₃O₄	hong'dan	100
K₂Cr₂O₇	hong'fan'jia	100
Na₂Cr₂O₇	hong'fan'na	100
℉	hua'shi'du	100
C₃H₆	huan'bing'wan	100
C₄H₈	huan'ding'wan	100
C₆H₁₂	huan'ji'wan	100
CₙH₂ₙ	huan'wan'ting	100
C₅H₁₀	huan'wu'wan	100
C₂H₄O	huan'yang'yi'wan	100
PbO	huang'dan	100
H₂SO₄	huang'qiang'shui	100
—SO₃H	huang'suan'ji	100
KMnO₄	hui'meng'yang	100
4f¹¹6s²	huo	100
Ho	huo	100
钬	huo	100
NaOH	huo'jian	100
碘	i	100
151	ii	100
I—I	ii	100
铟	in	100
铱	ir	100
4s²4p¹	jia	100
4s¹	jia	100
Ga	jia	100
K	jia	100
钾	jia	100
镓	jia	100
CH₃NH₂	jia'an	100
CH₅N	jia'an	100
—NHCH₃	jia'an'ji	100
C₇H₈	jia'ben	100
CH₃OH	jia'chun	100
CH₄O	jia'chun	100
—CH₃	jia'ji	100
—Me	jia'ji	100
—SO₂CH₃	jia'ji'huang'xian'ji	100
K₂CO₃	jia'jian	100
K⁺	jia'li'zi	100
CH₃OCH₃	jia'mi	100
C₂H₆O	jia'mi	100
CH₂O	jia'quan	100
HCHO	jia'quan	100
≜	jia're	100
△	jia're	100
CH₂O₂	jia'suan	100
HCOOH	jia'suan	100
C₂H₄O₂	jia'suan'jia'zhi	100
HCOOCH₃	jia'suan'jia'zhi	100
HCOONa	jia'suan'na	100
CH₄	jia'wan	100
—COH	jia'xian'ji	100
—OCOH	jia'xian'yang'ji	100
—OCH₃	jia'yang'ji	100
Cu₂(OH)₂SO₄	jian'shi'liu'suan'tong	100
Cu₂(OH)₂CO₃	jian'shi'tan'suan'tong	100
5d¹⁰6s¹	jin	100
Au	jin	100
金	jin	100
5f⁷6d¹7s²	ju	100
Cm	ju	100
锔	ju	100
钾	k	100
㎈	ka'lu'li	100
㎉	ka'lu'li	100
5f¹⁰7s²	kai	100
Cf	kai	100
锎	kai	100
3d¹4s²	kang	100
Sc	kang	100
钪	kang	100
C₆H₈O₆	kang'huai'xue'suan	100
380	kbr	100
K—Br	kbr	100
433	kcl	100
K—Cl	kcl	100
4s²4p⁶	ke	100
Kr	ke	100
㎍	ke	100
㎎	ke	100
㎏	ke	100
氪	ke	100
g/mol 	ke'mei'mo'er	100
⇌	ke'ni	100
KOH	ke'xing'jia	100
NaOH	ke'xing'na	100
498	kf	100
K—F	kf	100
325	ki	100
K—I	ki	100
氪	kr	100
MgO	ku'tu	100
MgSO₄·7H₂O	ku'yan	100
镧	la	100
5d⁵6s²	lai	100
Re	lai	100
铼	lai	100
5d¹6s²	lan	100
La	lan	100
镧	lan	100
CuSO₄·5H₂O	lan'fan	100
4d⁸5s¹	lao	100
5f¹⁴6d¹7s²	lao	100
Lr	lao	100
Rh	lao	100
铑	lao	100
铹	lao	100
7s²	lei	100
Ra	lei	100
镭	lei	100
2s¹	li	100
Li	li	100
Lv	li	100
锂	li	100
Li⁺	li'li'zi	100
㎝	li'mi	100
㎠	li'mi	100
㎤	li'mi	100
4d⁷5s¹	liao	100
Ru	liao	100
钌	liao	100
469	licl	100
Li—Cl	licl	100
238	lih	100
Li—H	lih	100
345	lii	100
Li—I	lii	100
3s²3p³	lin	100
P	lin	100
磷	lin	100
H₃PO₄	lin'suan	100
KH₂PO₄	lin'suan'er'qing'jia	100
PO₄³⁻	lin'suan'gen	100
K₃PO₄	lin'suan'jia	100
Na₃PO₄	lin'suan'na	100
